x,y,z,int,phase,size
  -4.56250012E-02 ,  -4.56250012E-02 ,   16.3500004     ,   1.00000000     ,   138.082199     ,           1
  -4.56250012E-02 ,  -4.56250012E-02 ,   23.6499996     ,   1.00000000     ,   138.082199     ,           1
